,created_at_KST,masked_id,full_url,masked_text,media_media_url_https,urls_expanded_url,is_retweeted_by
95,2024-12-21 23:10:26+09:00,**********,https://twitter.com/thinkerballer/status/1870471898347483533,"현장에 없는 트친들을 위한
남태령 상황 설명해드릴게요

경찰: 버스로 길막함
트랙터: 못가고있음
주최: 밤새자면서 아모르파티 틀음
시민: 열 어 라 쿵 열 어 라 쿵",False,False,공놀이보리밥
327,2024-12-21 23:10:43+09:00,향연,https://twitter.com/symposion_/status/1870471968098840773,오늘 @CIA #CIA 라는 멘션이랑 인용을 너무 많이 받아서 이거 뭐 인도인공지능 새로운 알고리즘인가 했지... 이게 뭔... 개같은 ㅋㅋㅋㅋㅋ,False,False,
326,2024-12-21 23:11:03+09:00,**********,https://twitter.com/symposion_/status/1870472050181304507,지금 남태령은 시위하는게 아닙니다. 경찰이 국민의 통행의 자유를 막고 있는 헌법 위반 장소입니다.,False,False,향연
94,2024-12-21 23:11:14+09:00,******,https://twitter.com/thinkerballer/status/1870472099246285287,"방금 남태령 발언자분 개 조근조근하게

마지막으로~ 너네는~
스팸에 따끈한쌀밥도 먹지마시고요~
김치찌개에 밥도 싸먹지 마시고요~
말라붙은 바게트쪼가리나 먹으세요~

막걸리도 드시지마새요~~

이러고 내려가심 ㅠㅠㅋㅋㅋㅋ",False,False,공놀이보리밥
325,2024-12-21 23:11:22+09:00,***********,https://twitter.com/symposion_/status/1870472131232018570,전봉준투쟁단 분들이 사람들 둘러보면서 너무 좋아하심 ㅠㅠ 어떤 분은 동행 손 잡고 우리 12시부터 외롭게 투쟁하고있었다고 고맙다고 하심 ㅠㅠㅜ남태령역으로 많이 와주세요,False,False,향연
93,2024-12-21 23:12:21+09:00,*********,https://twitter.com/thinkerballer/status/1870472379585212636,여러분 좀 전에 뭐 응원봉 들지 마라 구호 외치지 마라 그런 얘기 돌았는데 지금 현장에서는 걍 다같이 시위 중입니다. 도로 위에 앉아서 응원봉도 흔들고 구호도 외치고 노래도 틀고 자유발언도 하고 있어요. 쪽수 많아지니까 경…,False,False,공놀이보리밥
1229,2024-12-21 23:12:32+09:00,향연,https://twitter.com/cai_hua__/status/1870472423264641265,"한국 농민 평균연령 올해로 69세입니다. 그리고 청년인구가 유입되지 않기 때문에 이대로 한해한해 70세, 71세 이렇게 나이들어갈 것입니다. 그러다 결국 소멸할 것입니다... 농민과 농업, 농촌에 관심을 가져주세요. 부탁…",False,False,뀨왕
677,2024-12-21 23:13:27+09:00,**********,https://twitter.com/abyss__calling/status/1870472653762646518,뭐지 사람들 왜 연행함...? https://t.co/VKRTZxfzKP,['https://pbs.twimg.com/ext_tw_video_thumb/1870469491542683649/pu/img/Hl0RosBDkmVyiRsI.jpg'],False,왕밤빵
478,2024-12-21 23:13:32+09:00,************,https://twitter.com/Ryam_nb/status/1870472677477232780,"지금 남태령인데 화장실이 너무 급하면 경찰 화장실 쓰셔도 됩니다.
속에 히터 27도로 틀어둬서 뜨숩고요.
누구나 이용가능하다는데
우리 세금 좀 뽕 뽑죠???? https://t.co/huTYZLfayz","['https://pbs.twimg.com/media/GfU6FWXaoAAUdO7.jpg', 'https://pbs.twimg.com/media/GfU6FaJbYAAD7Gy.jpg']",False,야옹뉴스
676,2024-12-21 23:13:34+09:00,************,https://twitter.com/abyss__calling/status/1870472686276882928,"@:
대전 집회에서 민주사회어쩌구연구원교수모임 사람이 시민발언 나왔는데, 87년 운동권출신들한테서 가장 듣고싶었던 말을 해주고 갔다.
운동권출신이란 안락한 자부심 속에 내가족 내자식만 챙기면서 착취당한여성들이 차별당한…",False,False,왕밤빵
